group_id,post_id,text,image_urls,likes,reposts,popularity,классические,черный юмор,политика,постирония,жиза,шаблонные,современные,старые,мудро,добрые
209379140,30795,,"['https://sun9-7.userapi.com/s/v1/ig2/KGPFvzLQptds9iSSZKHX8mZY7RlZ7d7AoIbAG8GOZRxWo9zYNBXJUiOgHp44tWWucA93pR8GvmErB-Aiax1iBhs_.jpg?quality=95&as=32x46,48x69,72x103,108x155,160x230,240x344,360x517,480x689,540x775,640x918,720x1033,1080x1550,1280x1837,1440x2066,1784x2560&from=bu&cs=510x732']",310,65,0.1482896652110626,0,0,1,0,1,0,0,0,0,0
209379140,30779,,"['https://sun2-20.userapi.com/s/v1/ig2/ogY3tjV5qy7QDM2YQF1GbbrVtVrFiDjeCZeX-3lwFkF_iamzdSiKd03JGLz6VDTu_YDSEszJk7v0rVzeN2pazHL9.jpg?quality=95&as=32x53,48x79,72x118,108x177,160x263,240x394,360x591,480x788,540x886,640x1050,720x1182,1080x1772,1280x2101,1440x2363,1560x2560&from=bu&cs=510x837']",620,154,0.16183322240182563,0,1,0,1,1,0,1,0,0,0
209379140,30759,,"['https://sun2-22.userapi.com/s/v1/ig2/crwDTQQedlayunVnppryvQXVHkcLModoBx8NrTuqq2AXtimzBa_L9IN2329t4d7yxXzGQK-DH2DptQa6G6qeKmst.jpg?quality=95&as=32x36,48x54,72x81,108x121,160x180,240x270,360x405,480x540,540x607,640x720,720x810,1080x1215,1280x1440,1440x1620,1920x2160&from=bu&cs=510x574', 'https://sun2-22.userapi.com/s/v1/ig2/3od3tGOf6cTtZyKwPolc07WfYB0SSgnO3xcqRTtjV5QLIklJK7levF6jtraCPFDj3tZszGtGN2CFKxRsqfKOaRwc.jpg?quality=95&as=32x36,48x54,72x81,108x121,160x180,240x270,360x405,480x540,540x607,640x720,720x810,1080x1215,1280x1440,1440x1620,1920x2160&from=bu&cs=510x574', 'https://sun2-18.userapi.com/s/v1/ig2/6tJaMMMjU9eqJa49pqfmrz6R_bZBrSPGkamAbwtx9JBNdXgU-s5TeuyaO1IMW5jDd5_tNTH4ZKvVDSvzOEZrq6Bs.jpg?quality=95&as=32x36,48x54,72x81,108x121,160x180,240x270,360x405,480x540,540x607,640x720,720x810,1080x1215,1280x1440,1440x1620,1920x2160&from=bu&cs=510x574', 'https://sun2-20.userapi.com/s/v1/ig2/1rZI5R-3rTLTAXk-Ei50rL0OG4bzvYU5VKa4cjRyIdSUXrguaIKMdc0BjltLslgDlm6aZQd9UcH1lbTe0mf1Wmk3.jpg?quality=95&as=32x36,48x54,72x81,108x121,160x180,240x270,360x405,480x540,540x607,640x720,720x810,1080x1215,1280x1440,1440x1620,1920x2160&from=bu&cs=510x574']",830,654,0.28145155023700363,1,1,1,1,1,0,0,0,0,1
209379140,30733,,"['https://sun9-18.userapi.com/s/v1/ig2/pVODho7N3i4WSL8Ryl-F2fJBOMaPmDHnj9UhL7UeQzMdfbBu9e3BeVCYy2cgIsNOqg1TgngSYkL_tHapHytCx5cT.jpg?quality=95&as=32x58,48x87,72x130,108x196,160x290,240x435,360x652,480x870,540x978,640x1160,720x1304,1080x1957,1280x2319,1413x2560&from=bu&cs=510x900']",575,136,0.15999178476073114,0,1,0,1,1,0,0,0,0,0
209379140,30722,,"['https://sun9-20.userapi.com/s/v1/ig2/T2bTW-lycnRrgkA2qs5IsgHrCK3Uc_i2T5be6Uezvx9WyCVaNROXzUclETtU7PNJ3bb-UAFHvhkEXe8ccT0tqL61.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080,1280x1280,1350x1350&from=bu&cs=510x510', 'https://sun2-18.userapi.com/s/v1/ig2/WG3k2dP3HuktpT6nFT25SZnjqSncqDaehijtEVSvsRlJANL59IL3DaRqM-Z525_UWJL2neAS1t5YjQ-LX2DlatyX.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080,1280x1280,1350x1350&from=bu&cs=510x510']",714,364,0.1851307669703203,1,0,0,1,1,0,0,0,0,0
209379140,30709,,"['https://sun2-22.userapi.com/s/v1/ig2/RaRXRPkKVM6bN1kqnlGUlFbv4IJHtN8A_UGZSgiy3OA0QybQcBXOpodb3JbHcCgdaQbl7zr_DBnP19YdjmJdx-MA.jpg?quality=95&as=32x54,48x81,72x121,108x182,160x270,240x405,360x607,480x810,540x911,640x1080,720x1215,1080x1822,1280x2160&from=bu&cs=510x861']",854,210,0.1955339968219453,0,1,0,1,1,0,1,0,0,0
209379140,30703,,"['https://sun2-22.userapi.com/s/v1/ig2/BMwMANDDe0zMzgUdMBZPYErMYXxs--CNX0NhOmdYKy4jqncbE6h16NBlG2JRLKX4wZTZSLjIJSVvzTjVx5bRjQrj.jpg?quality=95&as=32x36,48x54,72x81,108x122,160x180,240x270,360x405,480x540,540x608,640x720,720x810,1080x1216,1280x1441,1440x1621,1918x2159&from=bu&cs=510x574', 'https://sun2-22.userapi.com/s/v1/ig2/7Xm81OAFjVpijV44bxOWkDIRkybx8uY72QaTIEMuNWRYKmHZWcyXvha7IAlNJXreHofYQW1Cb7XS5QQrYg9yjTXO.jpg?quality=95&as=32x30,48x45,72x68,108x102,160x150,240x226,360x338,480x451,540x508,640x602,720x677,1080x1015,1280x1204,1440x1354,1523x1432&from=bu&cs=510x480']",921,530,0.2106038291605302,0,1,1,0,1,0,0,0,0,0
209379140,30696,,"['https://sun9-12.userapi.com/s/v1/ig2/8eurYOdYol4HDW_rdFnNYznvjX3M0jvM_RQt8rmYm7IQlfUwDJzp5t0_e_UkuZeIP58NfqIU75aCQsUZQljTcktC.jpg?quality=95&as=32x35,48x53,72x80,108x120,160x177,240x266,360x399,480x531,540x598,640x709,720x797,1080x1196,1280x1417,1401x1551&from=bu&cs=510x565']",395,87,0.128311561469906,0,1,0,1,1,0,0,0,0,0
209379140,30686,,"['https://sun9-68.userapi.com/s/v1/ig2/PajUiTMSCXfpEGrNjZR6etirOucxMc2UaSo0jKI-umA8a3L6fGE_6X6dK1j2OzvMVR7u9eaPKpKqtFsuxoeZz4B-.jpg?quality=95&as=32x28,48x42,72x63,108x94,160x139,240x209,360x313,480x418,540x470,640x557,720x626,1080x940,1280x1114,1440x1253,1854x1613&from=bu&cs=510x444', 'https://sun9-15.userapi.com/s/v1/ig2/a8nZYUOvrvwiAW1bvlgjk2bfqvM7XI5trjvCjfMIY_XLunCL7xzzNl-QoqzB7fimxhJhrapup4tTor-HRLa3wkX6.jpg?quality=95&as=32x28,48x42,72x63,108x94,160x139,240x209,360x313,480x418,540x470,640x557,720x626,1080x940,1280x1114,1440x1253,1854x1613&from=bu&cs=510x444']",577,256,0.15858085808580857,1,1,0,0,1,1,0,0,0,0
209379140,30670,,"['https://sun9-50.userapi.com/s/v1/ig2/lHeXenQhGBPbqF50MOfqTbFJxOXDw72E0K_ykZy4suDTYEUspyI3dvA9cEIhtksI9ScDj8ESe-qyhJZLbQUz_shX.jpg?quality=95&as=32x30,48x46,72x68,108x102,160x152,240x228,360x342,480x455,540x512,640x607,720x683,1080x1025,1280x1214,1440x1366,1678x1592&from=bu&cs=510x484', 'https://sun9-61.userapi.com/s/v1/ig2/f31PgLBl9pwaXLjcIwtzbPzJm0fiDGBW_Kfqrb-0nNsRKsXqdbztLoflLM-QK1AYm4rJHB6uiqYqxvjxUnUoDPsz.jpg?quality=95&as=32x30,48x46,72x68,108x102,160x152,240x228,360x342,480x455,540x512,640x607,720x683,1080x1025,1280x1214,1440x1366,1678x1592&from=bu&cs=510x484', 'https://sun9-38.userapi.com/s/v1/ig2/Ask5jlG_3MynoGSxINRCyBc33tBkYODu3rPK-fd37VIPSz7bCYwNimo8dvZuk7FB7NUv0Li-OkIwNsnMTit-4_mR.jpg?quality=95&as=32x30,48x46,72x68,108x102,160x152,240x228,360x342,480x455,540x512,640x607,720x683,1080x1025,1280x1214,1440x1366,1678x1592&from=bu&cs=510x484', 'https://sun9-5.userapi.com/s/v1/ig2/7WtAf9k0BX2Eo0736DBd4F7WAfhlC1sUcVVaqj1k_sIVpOdewtsaRgs4PrieoNp7pFcW1Koql_IlccQx2wIXJ5Xu.jpg?quality=95&as=32x30,48x45,72x68,108x102,160x152,240x227,360x341,480x455,540x512,640x606,720x682,1080x1023,1280x1213,1440x1364,1678x1590&from=bu&cs=510x483']",821,521,0.2364441165621542,1,0,0,1,1,0,0,0,0,1
